nx,ny,T,dt,damage_time,mass,seed,init_phase_noise,qzw_pi_gain,qzw_entropy_gain,bott_ref,bott_loss_observed,retained_to_end,retention_time,bott_pre_mean,bott_post_mean,qzw_chern_pre_mean,qzw_chern_post_mean,gap_pre_min,gap_post_min,u_eff_pre_mean,u_eff_post_mean,sig_top_pre_mean,sig_top_post_mean,sig_top_baseline_mean,sig_top_baseline_scale,sig_top_drop_z_max,sig_top_precursor_time,precursor_margin,precursor_lead_time,sig_top_half_time,half_margin,bott_loss_time,lead_time,final_S,final_pi_a,gmres_fails
4,4,8.0,0.2,4.0,-1.0,0,0.0,0.45,0.1,0.0,0.0,1.0,8.0,0.0,0.0,5.69342506180214e-19,-0.0011223197590737148,0.0024539213071119352,0.1117258681729608,0.6770033853078958,0.8828472863494561,0.025434458573309737,0.2477561013784956,0.012717229286654868,0.012717229286654868,1.0,nan,nan,nan,0.0,8.0,nan,nan,1.17311752153947,4.034204195531252,0.0
4,4,8.0,0.2,4.0,-1.0,0,0.02,0.45,0.1,0.0,0.0,1.0,8.0,0.0,0.0,0.012167076316153989,0.0020433744198797245,0.0017149476305989703,0.11189999816643828,0.6770034767798667,0.8828474924969243,0.045045304866188796,0.22359851250668356,0.04273379464286188,0.0023115102233269152,1.0,nan,nan,nan,4.0,4.0,nan,nan,1.173117846182083,4.0342045710178684,0.0
